country,region,protesterviolence,startdate,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,year_scode,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target,reg_type,armed_forces_personnel_percent_of_labor_force,aged_15_64_labour_force_participation_rate_percent,exports_percent_of_gdp,investments_percent_of_gdp,hdi_human_development_index,gdppercapita_us_inflation_adjusted,total_gni_ppp_current_international,military_expenditure_percent_of_gdp,male_suffrage,female_suffrage,executive_elections,legislative_elections,multi-party_legislative_elections,competitive_elections,lexical_index,political_liberties,lexical_index_plus,democratic_transition,transition_type,democratic_breakdown,breakdown_type,turnover_period,turnover_event,two_turnover_period,sovereign
Albania,Europe,0,2019.013699,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,1.609437912,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.016438,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,1.791759469,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.019178,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,1.945910149,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.021918,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,2.079441542,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.024658,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,2.197224577,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.027397,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,2.302585093,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.030137,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,2.397895273,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.199543,0,0,0,0,0,1,0,2019_ALB,3.912023005,0,0,Parliamentary,2,1,2,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,28,4,0,6,2,7,0,0,0.56265,69.61,31.3075,23.58599,0.795,4544.51501,39430073226,1.29109,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,1,2019.210502,0,0,0,0,0,1,0,2019_ALB,8.160232492,0,0.693147181,Parliamentary,2,1,2,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,28,4,0,6,2,7,0,0,0.56265,69.61,31.3075,23.58599,0.795,4544.51501,39430073226,1.29109,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.224201,0,0,0,0,0,1,0,2019_ALB,8.9226583,0,1.098612289,Parliamentary,2,1,2,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,28,4,0,6,2,7,0,0,0.56265,69.61,31.3075,23.58599,0.795,4544.51501,39430073226,1.29109,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,1,2019.2379,0,0,0,0,0,1,0,2019_ALB,6.308098442,0,1.386294361,Parliamentary,2,1,2,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,28,4,0,6,2,7,0,0,0.56265,69.61,31.3075,23.58599,0.795,4544.51501,39430073226,1.29109,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.263699,0,0,0,0,0,1,0,2019_ALB,8.160232492,0,1.609437912,Parliamentary,2,1,2,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,28,4,0,6,2,7,0,0,0.56265,69.61,31.3075,23.58599,0.795,4544.51501,39430073226,1.29109,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,1,2019.293836,0,0,0,0,0,1,0,2019_ALB,8.160232492,0,1.791759469,Parliamentary,2,1,2,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,28,4,0,6,2,7,0,0,0.56265,69.61,31.3075,23.58599,0.795,4544.51501,39430073226,1.29109,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.307534,0,0,0,0,0,1,0,2019_ALB,8.9226583,0,1.945910149,Parliamentary,2,1,2,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,28,4,0,6,2,7,0,0,0.56265,69.61,31.3075,23.58599,0.795,4544.51501,39430073226,1.29109,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
