,country,region,protesterviolence,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,execrel,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target
5943,Greece,Europe,1,0,0,0,1,0,0,0,4.605170185988092,0.0,2.70805020110221,Parliamentary,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,Greece,300.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,0.3914999771118164,0.48900001525878906,0.5438596606254578,0.8792924284934998,0.6629849076271057,0.12149140983819962,42.0,3.0,1.0,1.0,1.0,7,0
7821,Mauritania,Africa,0,0,0,0,1,0,0,0,3.912023005428146,0.0,1.3862943611198906,Presidential,7.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Mauritania,147.0,0.0,0.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.5102040767669678,1.0,0.7222639918327332,0.0,7.0,1.0,0.0,7.0,3.0,2,0
4355,Spain,Europe,0,0,0,0,1,0,0,0,8.160232492367689,0.0,1.3862943611198906,Parliamentary,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Spain,350.0,0.0,1.0,0.0,7.0,7.0,2.0,1.0,1.0,0.48790000915527343,0.465099983215332,0.5771428346633911,0.8541319370269775,0.6166844367980957,0.14659376442432404,39.0,3.0,0.0,5.0,5.0,7,0
3112,United Kingdom,Europe,0,0,0,0,1,0,0,1,8.006367567650246,0.0,3.091042453358316,Parliamentary,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,United Kingdom,650.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.5908000183105468,0.4093000030517578,0.5569230914115906,0.7346692681312561,0.6212707757949829,0.26606571674346924,86.0,4.0,0.0,6.0,6.0,7,0
3113,United Kingdom,Europe,0,0,0,0,1,0,0,0,4.605170185988092,0.0,3.1354942159291497,Parliamentary,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,United Kingdom,650.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.5908000183105468,0.4093000030517578,0.5569230914115906,0.7346692681312561,0.6212707757949829,0.26606571674346924,86.0,4.0,0.0,6.0,6.0,7,0
7621,Mali,Africa,0,1,0,0,1,0,0,0,4.605170185988092,0.0,0.6931471805599453,Presidential,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,Mali,147.0,0.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.7278911471366882,0.40889549255371094,0.7714823484420776,0.5966809391975403,24.0,2.0,0.0,3.0,3.0,5,0
9844,Zimbabwe,Africa,0,0,0,0,1,0,1,0,4.605170185988092,0.0,2.1972245773362196,Presidential,29.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,Zimbabwe,210.0,0.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.761904776096344,1.0,0.3667806088924408,0.0,36.0,4.0,0.0,29.0,3.0,5,0
2417,Chile,South America,0,1,0,0,0,0,0,0,9.210340371976184,3.4657359027997265,1.0986122886681098,Presidential,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Chile,120.0,0.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,0.5318000030517578,0.3616999816894531,0.5666666626930237,0.9710207581520081,0.5256302356719971,0.029411764815449715,27.0,2.0,0.0,3.0,3.0,7,0
122,Cuba,North America,0,0,0,0,1,0,1,0,4.30406509320417,0.0,3.367295829986474,Assembly-Elected President,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,Cuba,621.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,10.0,3,0
4726,Germany,Europe,0,0,0,0,1,0,0,0,6.907755278982137,0.0,3.6109179126442243,Parliamentary,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany,631.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.6727000427246094,0.17040000915527342,0.7987321615219116,0.527407705783844,0.6442935466766357,0.4735318124294281,68.0,6.0,0.0,11.0,3.0,7,0
3114,United Kingdom,Europe,0,0,0,0,1,0,0,0,3.912023005428146,0.0,3.1780538303479458,Parliamentary,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,United Kingdom,650.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.5908000183105468,0.4093000030517578,0.5569230914115906,0.7346692681312561,0.6212707757949829,0.26606571674346924,86.0,4.0,0.0,6.0,6.0,7,0
8030,Cote D'Ivoire,Africa,1,0,0,0,0,1,0,0,3.912023005428146,0.0,0.0,Presidential,6.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,Cote D'Ivoire,254.0,0.0,1.0,0.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.8622047305107117,0.46138182282447815,0.659062385559082,0.541088879108429,26.0,2.0,0.0,6.0,5.0,5,0
13373,India,Asia,1,0,0,0,1,0,0,1,3.912023005428146,0.0,1.3862943611198906,Parliamentary,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,India,543.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.3679999923706055,0.3639999771118164,0.8246913552284241,0.7186417579650879,0.5002375841140747,0.28220316767692566,67.0,4.0,0.0,2.0,2.0,7,0
8031,Cote D'Ivoire,Africa,1,0,0,0,0,1,0,0,3.912023005428146,0.0,0.6931471805599453,Presidential,6.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,Cote D'Ivoire,254.0,0.0,1.0,0.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.8622047305107117,0.46138182282447815,0.659062385559082,0.541088879108429,26.0,2.0,0.0,6.0,5.0,5,0
5013,Hungary,Europe,0,0,0,0,1,0,0,0,4.605170185988092,0.0,0.0,Parliamentary,6.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,Hungary,199.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.445,0.05300000190734863,0.6683416962623596,1.0,0.505405843257904,0.0,26.0,3.0,0.0,6.0,6.0,7,0
4130,France,Europe,0,0,0,1,0,0,0,0,6.396929655216146,0.0,3.5263605246161616,Parliamentary,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,France,577.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,0.4090999984741211,0.5728000259399414,0.48526862263679504,1.0,0.6497979164123535,0.0,86.0,5.0,0.0,4.0,4.0,7,0
8741,Gabon,Africa,0,0,0,0,1,0,0,1,4.605170185988092,0.0,0.0,Presidential,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Gabon,120.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9666666388511658,0.9659631252288818,0.09747899323701859,0.03433283418416977,23.0,3.0,0.0,26.0,7.0,4,0
123,Cuba,North America,0,0,0,0,1,0,1,0,4.30406509320417,0.0,3.4011973816621555,Assembly-Elected President,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,Cuba,621.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,10.0,3,0
4727,Germany,Europe,0,0,0,0,1,0,0,0,6.907755278982137,0.0,3.6375861597263857,Parliamentary,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany,631.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.6727000427246094,0.17040000915527342,0.7987321615219116,0.527407705783844,0.6442935466766357,0.4735318124294281,68.0,6.0,0.0,11.0,3.0,7,0
